日,ひ、か、にち、じつ
人,ひと、じん、にん
大,おお、おおきい、だい、たい
一,ひと、いち
中,なか、ちゅう
出,で、だ、でる、だす、しゅつ、すい
本,もと、ほん
時,とき、じ
行,い、いく、ゆ、ゆく、おこな、おこなう、こう、ぎょう、あん
年,とし、ねん
上,うえ、うわ、かみ、あ、あげる、あがる、のぼ、のぼる、じょう、しょう
事,こと、じ、ず
月,つき、げつ、がつ
子,こ、し、す
生,い、いきる、う、うまれる、うむ、お、は、はえる、はやす、なま、き、せい、しょう
間,あいだ、ま、かん、けん
前,まえ、ぜん
手,て、た、しゅ、ず
会,あ、あう、かい、え
合,あ、あう、あい、あわす、あわせる、ごう、か、が
見,み、みる、みえる、みせる、けん
学,まな、まなぶ、がく
後,のち、うし、うしろ、あと、おく、おくれ、ご、こう
自,みずか、おの、みずから、おのずから、じ、し
地,、ち、じ
田,た、でん
方,かた、ほう
目,め、ま、もく
山,やま、さん
場,ば、じょう
高,たか、たかい、たかさ、たかまる、たかぶる、たかめる、こう
国,くに、こく
同,おな、おなじ、おなじく、どう
部,、ぶ
新,あら、あたら、あたらしい、あらた、にい、しん
長,なが、ながい、ちょう
明,あ、あける、あか、あかるい、あからむ、あき、あきらか、めい、みょう
入,い、はい、いり、いる、はいる、いれる、いれ、にゅう
者,もの、しゃ
下,した、しも、さ、さがる、さげる、くだ、くだる、ください、お、おろす、おりる、か、げ
代,かわる、かわり、かえる、よ、しろ、か、だい、たい
東,ひがし、とう
度,たび、ど、と、たく
気,、き、け
女,おんな、め、じょ、にょ、にょう
通,とお、かよ、とおる、とおり、とおす、とおし、かよう、つう、つ
発,た、たつ、はつ、ほつ
名,な、めい、みょう
小,ちい、ちいさい、こ、お、しょう
全,まった、まったく、すべ、すべて、ぜん
川,かわ、せん
立,た、たて、たつ、たち、たてる、りつ、りゅう
家,いえ、や、か、け
作,つく、つくる、つくり、さく、さ
道,みち、どう、とう
体,からだ、たい、てい
動,うご、うごく、うごかす、うごき、どう
野,の、や
最,もっと、もっとも、さい
来,く、くる、きた、きたる、らい
当,あ、あたり、あたる、あてる、とう
内,うち、ない
所,ところ、しょ
物,もの、ぶつ、もつ
言,い、いう、こと、げん、ごん
話,はな、はなす、はなし、わ
京,、きょう、けい、きん
定,さだ、さだか、さだめる、さだまる、てい、じょう
対,、たい、つい
理,、り
金,かね、かな、きん、こん
三,み、みっか、みっつ、さん
成,な、なる、なす、せい、じょう
知,し、しる、しらす、しらせる、ち
外,そと、ほか、はず、はずす、はずれる、がい、げ
実,み、みの、みのる、みのり、じつ
第,、だい
水,みず、すい
力,ちから、りょく、りき
車,くるま、しゃ
市,いち、し
神,かみ、かん、こう、しん、じん
意,、い
社,やしろ、しゃ
用,もち、もちいる、よう
世,よ、せい、せ
初,はじ、はつ、うい、そ、はじめて、はじめ、はつ、そめる、しょ
関,せき、かか、かかわる、かん
戦,いくさ、たたか、たたかう、たたかわす、せん
現,あらわ、あらわれる、あらわす、げん
島,しま、とう
開,ひら、ひらく、あ、あく、あける、かい
今,いま、こん、きん
以,も、もって、い
原,はら、げん
表,おもて、あらわ、あらわす、あらわれる、ひょう
点,、てん
業,わざ、ぎょう、ごう
取,と、とる、とり、しゅ
連,つら、つ、つらなる、つらねる、つれる、つれ、れん
性,、せい、しょう
海,うみ、かい
多,おお、おおい、おおく、た
校,、こう
近,ちか、ちかい、ちかく、きん
心,こころ、しん
文,ふみ、ぶん、もん
書,か、かく、しょ
平,たい、ひらたい、たいら、ひら、へい、びょう
不,、ふ、ぶ
持,も、もつ、もち、じ
主,ぬし、おも、おもに、あるじ、しゅ、す
思,おも、おもう、おもい、し
都,みやこ、と、つ
空,そら、あ、から、むな、あく、あき、あける、から、むなしい、むなしさ、くう
二,ふた、ふたつ、ふたり、に
画,、が、かく
男,おとこ、だん、なん
木,き、こ、ぼく、もく
相,あい、そう、しょう
町,まち、ちょう
化,ば、ばける、ばかす、か、け
屋,や、おく
先,さき、せん
和,やわ、やわらぐ、やわらげる、なご、なごむ、なごやか、わ、お
記,しる、しるす、き
面,おも、おもて、つら、めん
勝,か、かつ、かち、まさ、まさる、しょう
口,くち、こう、く
北,きた、ほく
西,にし、せい、さい
次,つ、つぐ、つぎ、じ、し
安,やす、やすい、やすまる、やすらか、あん
正,ただ、ただしい、ただす、まさ、まさに、せい、しょう
公,おおやけ、こう
位,くらい、い
教,おし、おそ、おしえる、おそわる、きょう
天,あめ、あま、てん
機,はた、き
風,かぜ、かざ、ふう、ふ
付,つ、つける、つく、つき、づける、づく、ふ
法,、ほう、はつ、ほつ
美,うつく、うつくしい、び
数,かず、かぞ、かぞえる、すう、す
死,し、しぬ、しに、し
元,もと、げん、がん
電,、でん
回,まわ、まわる、まわす、かい、え
結,むす、ゆ、むすぶ、ゆう、ゆわえる、けつ
変,か、かわる、かわり、かえる、へん
活,、かつ
決,き、きめる、きまる、けつ
番,、ばん
楽,たの、たのしむ、たのしい、たのしみ、がく、らく
真,ま、しん
集,あつ、つど、あつまる、あつまり、あつめる、つどう、つどい、しゅう
考,かんが、かんがえる、かんがえ、こう
強,つよ、つよい、つよめる、つよまる、し、しいる、きょう、ごう
語,かた、かたる、ご
終,お、おわり、おわらせる、おわる、おえる、しゅう
村,むら、そん
朝,あさ、ちょう
使,つか、つかう、つかい、し
信,、しん
少,すく、すこ、すくない、すこし、しょう
向,む、むく、むき、むける、むかう、むこう、こう
重,え、おも、かさ、おもい、おもさ、おもり、おもたい、おもし、かさねる、かさなる、じゅう、ちょう
情,なさ、なさけ、じょう、せい
民,たみ、みん
加,くわ、くわえる、くわわる、か
引,ひ、ひく、いん
線,、せん
千,ち、せん
台,、だい、たい
要,い、かなめ、いる、よう
調,しら、ととの、しらべる、ととのえる、ととのう、ちょう
感,、かん
士,、し
経,へ、た、へる、たつ、けい、きょう
古,ふる、ふるい、こ
品,しな、ひん
運,はこ、はこぶ、うん
白,しろ、しら、しろい、はく、びゃく
別,わか、わかれ、わかれる、べつ
在,あ、ある、ざい
界,、かい
店,みせ、てん
愛,いと、いとしい、いとおしむ、あい
期,、き、ご
様,さま、よう
流,なが、ながれる、ながれ、ながす、りゅう、る
利,き、きく、きき、り
解,と、とく、とかす、とける、かい、げ
受,う、うける、うかる、じゅ
始,はじ、はじまる、はじめる、し
問,と、とう、とい、とん、もん
報,むく、むくい、むくいる、むくう、ほう
過,す、すぎる、すごす、あやま、あやまつ、あやまち、か
宮,みや、きゅう、ぐう、く
有,あ、ある、ゆう、う
切,き、きる、きり、きれる、せつ、さい
直,ただ、ただす、なお、なおる、なおす、ちょく、じき、じか
題,、だい
食,く、くう、た、たべる、しょく、じき
特,、とく
松,まつ、しょう
葉,は、よう
聞,き、きく、きこえる、ぶん、もん
太,ふと、ふとる、ふとい、ふとった、ふとさ、たい、た
治,おさ、なお、おさめる、おさまる、なおる、なおす、じ、ち
半,なか、なかば、はん
続,つづ、つづく、つづける、つづき、ぞく
指,ゆび、さ、さす、し
南,みなみ、なん
石,いし、せき、しゃく、こく
売,う、うる、ばい
制,、せい
着,き、つ、きる、きせる、つく、ちゃく、じゃく
起,お、おきる、おこす、き
員,、いん
議,、ぎ
送,おく、おくる、そう
達,たち、たつ
落,お、おちる、おとす、らく
土,つち、ど、と
進,すす、すすむ、すすめる、しん
組,く、くむ、くみ、そ
置,お、おく、ち
式,、しき
万,、まん、ばん
込,こ、こむ、こめる、
打,うつ、うち、だ
広,ひろ、ひろまる、ひろめる、ひろがる、ひろげる、ひろい、ひろさ、こう
氏,うじ、し
戸,と、こ
円,まる、まるい、えん
交,まじ、ま、か、まじわる、まじえる、まじる、まざる、まぜる、かう、かわす、こう
選,えら、えらぶ、せん
帰,かえ、かえる、き
能,、のう
福,、ふく
得,える、うる、え、う、とく
馬,うま、ま、ば
優,やさし、やさしさ、すぐれる、やさ、すぐ、ゆう
共,とも、きょう
声,こえ、こわ、せい、しょう
放,はな、はなす、はなつ、はなれる、ほう
良,よ、い、よい、いい、りょう
区,、く
乗,の、のる、のり、のせる、じょう
火,ひ、か
保,たもつ、たも、ほ
政,まつりごと、せい、しょう
際,きわ、さい
谷,たに、こく
止,と、や、とめる、とまる、やむ、やめる、し
足,あし、た、たる、たりる、たす、そく
光,ひか、ひかる、ひかり、こう
参,まいる、まい、さん
院,、いん
音,おと、ね、おん、のん、いん
青,あお、あおい、せい、しょう
頭,あたま、かしら、とう、ず、と
産,う、うむ、うまれる、うぶ、さん
確,たしか、たしかめる、たし、かく
張,はる、はり、は、ちょう
説,と、とく、せつ、ぜい
館,たて、かん
転,ころ、ころがる、ころげる、ころがす、ころぶ、てん
好,この、このむ、このみ、す、すき、すく、よ、よい、い、いい、こう
王,、おう
味,あじ、あじわう、あじわい、み
親,おや、した、したしい、しん
私,わたし、わたくし、し
号,、ごう
色,いろ、しょく、しき
府,、ふ
何,なに、なん、か
工,、こう、く
計,はか、はかる、はかり、はからう、けい
予,、よ
横,よこ、おう
歌,うた、うたう、か
約,、やく
果,はたす、はてる、はて、は、か
夫,おっと、ふ、ふう
件,、けん
呼,よ、よぶ、こ
夜,よ、よる、や
論,、ろん
常,つね、とこ、じょう
県,、けん
形,かた、かたち、けい、ぎょう
路,じ、ろ
観,、かん
注,そそ、そそぐ、ちゅう
城,しろ、じょう
反,そ、そる、そらす、はん、ほん、たん
支,ささ、ささえる、し
団,、だん、とん
早,はや、はやい、はやまる、はやめる、はやく、そう
限,かぎる、かぎり、かぎ、げん
武,、ぶ、む
格,、かく、こう
違,ちが、ちがう、ちがえる、い
久,ひさ、ひさしい、ひさしぶり、きゅう、く
急,いそ、いそぐ、いそぎ、きゅう
五,いつ、いつつ、ご
橋,はし、きょう
配,くば、くばる、はい
仕,つか、つかえる、し、じ
象,、しょう、ぞう
認,みと、みとめる、にん
伝,つた、つたわる、つたえる、つたう、つたい、でん
八,や、よう、やっつ、はち
念,、ねん
影,かげ、えい
降,お、ふ、おりる、おろす、ふる、ふり、こう
花,はな、か
役,、やく、えき
投,な、なげる、とう
容,、よう
種,たね、しゅ
料,、りょう
門,かど、もん
